"type" "body" "surface"
"equake" 6.07 5.62
"equake" 5.61 4.3
"equake" 5.11 3.98
"equake" 6.29 6.25
"equake" 5.32 4.5
"equake" 6.02 6.34
"equake" 5.32 4.46
"equake" 5.09 5.06
"equake" 4.73 4.37
"equake" 5.41 5.46
"equake" 4.92 4.43
"equake" 5.22 4.43
"equake" 5.28 4.76
"equake" 4.97 3.71
"equake" 5.23 4.01
"equake" 5.02 4.58
"equake" 5.04 4.83
"equake" 5.23 4.87
"equake" 4.65 4.16
"equake" 5.01 4.91
"equake" 5.39 5.57
"equake" 5.46 5.02
"equake" 5.59 5.32
"equake" 5.75 5.89
"equake" 5.64 4.62
"equake" 6.39 4.93
"explosn" 6.06 4.4
"explosn" 5.88 4.42
"explosn" 5.88 4.31
"explosn" 5.75 4.06
"explosn" 5.84 3.88
"explosn" 6.47 4.46
"explosn" 5.74 4.24
"explosn" 5.94 4.15
"explosn" 6.01 4.27
"explosn" 6.08 4.04
"explosn" 6.31 4.17
